alert_id,event_id,timestamp,user_id,ip_address,country,resource_accessed,action_type,attack_type,failed_logins,data_download_mb,risk_score,anomaly_score,threat_level,recommended_action,status,created_at
A000054,E000283,2026-05-21 07:46:58,U0494,91.8.103.213,Romania,/iam/roles,download,data_exfiltration,0,5336.3,97,0.6345,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000055,E000284,2026-05-13 01:47:55,U0311,185.55.97.57,Romania,/admin/users,login,brute_force,9,5.74,72,0.5472,High,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000056,E000285,2026-05-11 02:57:07,U0206,72.54.228.236,Tor Exit Node,/iam/roles,delete,privilege_escalation,3,135.04,92,0.5977,Critical,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000057,E000293,2026-05-31 20:29:33,U0241,24.202.250.30,North Korea,/storage/bucket-private,configure,privilege_escalation,1,4.6,76,0.5816,High,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000058,E000299,2026-05-10 11:25:19,U0214,52.218.130.254,Singapore,/api/files,list,normal,2,16.44,11,0.563,Low,Monitor activity,OPEN,2026-06-02 21:49:52
A000059,E000307,2026-05-30 19:20:21,U0260,24.46.77.207,Romania,/vpc/security-groups,delete,privilege_escalation,2,26.69,68,0.581,Medium,Require MFA verification,OPEN,2026-06-02 21:49:52
A000060,E000311,2026-05-05 10:18:59,U0337,52.143.133.155,Belarus,/admin/settings,login,brute_force,12,0.78,75,0.5934,Critical,Block IP address,OPEN,2026-06-02 21:49:52
A000061,E000312,2026-05-29 22:52:29,U0016,172.224.58.93,Belarus,/vpc/security-groups,download,data_exfiltration,1,3328.94,82,0.5785,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000062,E000313,2026-05-30 23:56:04,U0390,45.24.162.188,Belarus,/storage/bucket-private,download,data_exfiltration,0,7528.62,87,0.6312,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000063,E000324,2026-05-08 09:40:06,U0128,198.176.216.176,Belarus,/network/firewall,download,data_exfiltration,0,4142.84,89,0.6071,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000064,E000334,2026-06-02 19:34:28,U0084,24.43.209.170,Spain,/database/production,upload,normal,0,7.74,34,0.565,Low,Monitor activity,OPEN,2026-06-02 21:49:52
A000065,E000335,2026-05-20 11:38:45,U0411,45.72.62.72,Anonymous Proxy,/database/production,configure,geographic_anomaly,2,387.61,66,0.559,Medium,Require MFA verification,OPEN,2026-06-02 21:49:52
A000066,E000341,2026-05-14 14:34:54,U0190,104.114.218.67,Japan,/database/staging,list,normal,2,32.15,20,0.55,Low,Monitor activity,OPEN,2026-06-02 21:49:52
A000067,E000342,2026-05-21 03:08:39,U0247,45.72.114.106,Anonymous Proxy,/network/firewall,configure,privilege_escalation,3,158.25,92,0.6334,Critical,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000068,E000345,2026-05-15 01:15:52,U0215,104.101.69.197,Belarus,/admin/users,login,brute_force,15,0.44,71,0.5994,Critical,Block IP address,OPEN,2026-06-02 21:49:52
A000069,E000348,2026-05-30 06:28:38,U0024,5.150.253.108,Tor Exit Node,/iam/roles,download,data_exfiltration,2,7951.42,88,0.615,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000070,E000355,2026-05-17 04:43:40,U0368,198.157.225.83,Anonymous Proxy,/storage/bucket-private,login,brute_force,13,3.04,61,0.5833,Critical,Block IP address,OPEN,2026-06-02 21:49:52
A000071,E000359,2026-05-10 10:49:41,U0073,5.179.227.183,North Korea,/backup/snapshots,login,brute_force,18,4.23,72,0.5847,Critical,Block IP address,OPEN,2026-06-02 21:49:52
A000072,E000368,2026-05-18 19:52:09,U0469,185.78.187.170,Romania,/storage/bucket-private,login,brute_force,19,7.41,67,0.5852,Critical,Block IP address,OPEN,2026-06-02 21:49:52
A000073,E000371,2026-05-11 22:27:56,U0369,64.139.208.176,Finland,/logs/audit,read,normal,0,0.28,8,0.5547,Low,Monitor activity,OPEN,2026-06-02 21:49:52
A000074,E000376,2026-05-28 10:49:25,U0307,213.20.55.49,Nigeria,/database/production,delete,privilege_escalation,2,172.07,87,0.5905,High,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000075,E000384,2026-06-01 08:36:44,U0111,8.102.95.249,Sweden,/compute/instances,update,normal,0,7.98,18,0.5415,Low,Monitor activity,OPEN,2026-06-02 21:49:52
A000076,E000387,2026-05-21 17:28:55,U0059,104.153.203.181,North Korea,/backup/snapshots,write,geographic_anomaly,2,154.59,67,0.5401,Medium,Require MFA verification,OPEN,2026-06-02 21:49:52
A000077,E000392,2026-05-16 21:00:21,U0100,72.38.23.170,Romania,/backup/snapshots,delete,privilege_escalation,1,146.84,87,0.5804,High,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000078,E000403,2026-05-05 11:57:08,U0108,52.175.189.206,Romania,/backup/snapshots,delete,geographic_anomaly,4,555.35,60,0.5555,Medium,Require MFA verification,OPEN,2026-06-02 21:49:52
A000079,E000404,2026-05-31 01:51:33,U0198,24.3.86.194,North Korea,/backup/snapshots,login,brute_force,16,0.46,100,0.5916,Critical,Block IP address,OPEN,2026-06-02 21:49:52
A000080,E000412,2026-05-18 17:32:00,U0093,104.32.115.102,Ireland,/iam/roles,read,normal,0,30.65,9,0.5462,Low,Monitor activity,OPEN,2026-06-02 21:49:52
A000081,E000416,2026-05-20 01:08:18,U0009,8.67.247.169,Romania,/admin/users,download,data_exfiltration,0,6743.27,81,0.6258,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000082,E000419,2026-05-23 08:50:19,U0486,91.64.160.233,Ukraine,/vpc/security-groups,login,brute_force,9,8.98,68,0.55,High,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000083,E000420,2026-05-08 04:31:19,U0209,8.57.153.186,Ukraine,/backup/snapshots,download,data_exfiltration,0,5104.06,96,0.6202,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000084,E000425,2026-05-15 03:34:27,U0212,196.161.78.92,Ukraine,/vpc/security-groups,configure,privilege_escalation,2,162.53,89,0.6238,High,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000085,E000429,2026-05-25 13:30:36,U0044,198.233.128.153,Anonymous Proxy,/network/firewall,download,data_exfiltration,0,5520.28,99,0.6096,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000086,E000430,2026-05-13 08:48:02,U0266,213.151.17.148,Romania,/backup/snapshots,download,data_exfiltration,0,2129.64,86,0.5804,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000087,E000435,2026-05-17 18:27:03,U0265,45.74.133.220,Nigeria,/database/production,download,data_exfiltration,2,7811.26,77,0.5803,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000088,E000452,2026-05-15 13:05:22,U0125,104.13.97.224,Nigeria,/admin/settings,download,data_exfiltration,2,3987.07,76,0.5979,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000089,E000462,2026-06-02 03:13:51,U0224,91.34.167.224,Ukraine,/network/firewall,write,privilege_escalation,2,116.66,86,0.6073,High,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000090,E000465,2026-05-08 14:38:12,U0263,213.186.147.149,Ukraine,/iam/roles,write,geographic_anomaly,4,70.85,79,0.5658,High,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000091,E000466,2026-05-24 13:52:56,U0197,72.22.26.194,Romania,/admin/users,login,brute_force,16,6.41,81,0.5913,Critical,Block IP address,OPEN,2026-06-02 21:49:52
A000092,E000467,2026-05-23 15:38:47,U0360,198.100.232.223,North Korea,/admin/users,delete,geographic_anomaly,2,473.7,69,0.5398,Medium,Require MFA verification,OPEN,2026-06-02 21:49:52
A000093,E000474,2026-05-30 09:25:40,U0470,172.0.29.15,North Korea,/admin/settings,configure,geographic_anomaly,1,483.92,59,0.5705,Low,Monitor activity,OPEN,2026-06-02 21:49:52
A000094,E000478,2026-05-27 11:44:08,U0426,72.97.121.148,Tor Exit Node,/admin/settings,configure,geographic_anomaly,4,598.85,80,0.5969,High,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000095,E000492,2026-06-01 01:43:32,U0396,104.128.61.135,Belarus,/vpc/security-groups,download,data_exfiltration,0,5852.32,88,0.6287,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000096,E000493,2026-05-22 18:41:50,U0347,213.245.19.246,Belarus,/admin/users,configure,geographic_anomaly,1,184.13,69,0.5665,Medium,Require MFA verification,OPEN,2026-06-02 21:49:52
A000097,E000494,2026-05-19 09:49:04,U0196,213.232.202.61,North Korea,/vpc/security-groups,download,data_exfiltration,0,3700.48,91,0.6318,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000098,E000508,2026-05-24 09:07:16,U0034,185.219.53.99,Anonymous Proxy,/iam/roles,login,brute_force,15,1.48,73,0.5903,Critical,Block IP address,OPEN,2026-06-02 21:49:52
A000099,E000513,2026-05-29 19:43:47,U0004,213.238.148.146,Belarus,/network/firewall,write,geographic_anomaly,3,436.61,71,0.591,Medium,Require MFA verification,OPEN,2026-06-02 21:49:52
A000100,E000534,2026-05-05 00:53:43,U0400,104.78.232.205,Unknown,/network/firewall,download,data_exfiltration,1,4628.85,76,0.6122,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000101,E000536,2026-05-15 06:33:17,U0232,52.108.42.119,Ukraine,/admin/settings,login,brute_force,18,6.55,76,0.6187,Critical,Block IP address,OPEN,2026-06-02 21:49:52
A000102,E000539,2026-05-30 18:19:14,U0335,72.213.91.126,Singapore,/api/files,download,normal,0,85.31,25,0.5483,Low,Monitor activity,OPEN,2026-06-02 21:49:52
A000103,E000541,2026-05-17 01:43:55,U0073,45.149.170.212,Tor Exit Node,/database/production,delete,privilege_escalation,1,68.92,90,0.5767,Critical,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000104,E000543,2026-05-29 05:31:09,U0343,172.220.150.28,Anonymous Proxy,/vpc/security-groups,configure,geographic_anomaly,3,231.1,73,0.5856,Medium,Require MFA verification,OPEN,2026-06-02 21:49:52
A000105,E000546,2026-05-13 00:20:56,U0106,45.151.80.86,Anonymous Proxy,/backup/snapshots,write,geographic_anomaly,2,38.04,71,0.5577,Medium,Require MFA verification,OPEN,2026-06-02 21:49:52
A000106,E000547,2026-05-05 01:46:46,U0280,104.251.168.77,India,/storage/bucket-private,upload,normal,0,7.93,16,0.5522,Low,Monitor activity,OPEN,2026-06-02 21:49:52
A000107,E000548,2026-05-05 07:39:19,U0120,8.198.88.60,Nigeria,/iam/roles,download,data_exfiltration,0,8055.89,76,0.6107,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000108,E000552,2026-05-29 16:36:03,U0499,192.134.172.178,Unknown,/vpc/security-groups,configure,geographic_anomaly,1,597.7,61,0.5864,Medium,Require MFA verification,OPEN,2026-06-02 21:49:52
A000109,E000555,2026-05-06 23:28:46,U0178,52.136.151.17,Belarus,/backup/snapshots,login,brute_force,17,4.1,74,0.6022,Critical,Block IP address,OPEN,2026-06-02 21:49:52
A000110,E000558,2026-05-18 23:06:54,U0258,5.97.52.213,Tor Exit Node,/storage/bucket-private,configure,privilege_escalation,1,103.76,80,0.591,High,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000111,E000559,2026-05-07 08:06:56,U0469,45.119.136.253,Unknown,/admin/settings,download,data_exfiltration,1,7700.7,79,0.6228,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000112,E000561,2026-05-26 05:35:55,U0118,45.194.61.13,Unknown,/vpc/security-groups,download,data_exfiltration,2,8956.16,97,0.6601,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000113,E000564,2026-05-29 01:10:41,U0487,52.169.24.122,North Korea,/admin/settings,download,data_exfiltration,1,8772.74,85,0.6426,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000114,E000565,2026-05-08 21:42:10,U0321,198.54.59.231,Ukraine,/admin/settings,download,data_exfiltration,0,3256.85,69,0.5783,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000115,E000572,2026-05-17 15:51:12,U0279,213.97.215.63,Tor Exit Node,/database/production,configure,privilege_escalation,2,9.9,97,0.609,Critical,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000116,E000573,2026-06-01 13:10:21,U0040,91.228.129.63,North Korea,/database/production,delete,privilege_escalation,1,195.21,88,0.5897,High,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000117,E000575,2026-05-29 03:36:31,U0316,192.159.75.130,Ukraine,/admin/users,download,data_exfiltration,2,7702.24,90,0.6348,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000118,E000577,2026-06-02 14:17:16,U0260,185.65.75.113,Unknown,/network/firewall,write,privilege_escalation,1,192.92,92,0.6312,Critical,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000119,E000578,2026-05-13 20:16:56,U0154,104.236.160.42,Belarus,/backup/snapshots,configure,geographic_anomaly,4,316.83,87,0.591,High,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000120,E000580,2026-05-31 18:51:09,U0177,198.248.154.254,Tor Exit Node,/backup/snapshots,download,data_exfiltration,1,2876.06,75,0.5636,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000121,E000594,2026-05-10 23:08:54,U0183,64.161.223.108,North Korea,/storage/bucket-private,login,brute_force,9,8.32,89,0.5407,High,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000122,E000596,2026-05-09 13:38:51,U0269,45.86.98.74,Unknown,/vpc/security-groups,delete,geographic_anomaly,4,84.12,54,0.573,Medium,Require MFA verification,OPEN,2026-06-02 21:49:52
A000123,E000603,2026-05-07 04:29:11,U0485,198.140.158.194,Belarus,/storage/bucket-private,download,data_exfiltration,2,8117.3,100,0.6361,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000124,E000609,2026-05-19 14:05:51,U0019,213.197.219.35,Romania,/admin/users,write,privilege_escalation,3,148.47,80,0.6224,High,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000125,E000623,2026-05-07 09:48:16,U0101,196.156.62.118,Tor Exit Node,/admin/settings,download,data_exfiltration,2,1598.19,89,0.623,High,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000126,E000626,2026-05-10 10:21:39,U0382,64.23.58.172,Unknown,/admin/users,configure,geographic_anomaly,4,442.17,68,0.5977,Medium,Require MFA verification,OPEN,2026-06-02 21:49:52
A000127,E000635,2026-06-02 21:25:09,U0294,52.110.112.98,Anonymous Proxy,/vpc/security-groups,delete,geographic_anomaly,1,535.84,71,0.5717,Medium,Require MFA verification,OPEN,2026-06-02 21:49:52
A000128,E000643,2026-05-26 01:43:15,U0011,172.185.164.2,Nigeria,/admin/users,download,data_exfiltration,0,6001.89,99,0.6295,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000129,E000647,2026-05-11 04:29:09,U0084,64.0.148.241,Ukraine,/backup/snapshots,download,data_exfiltration,1,3931.68,94,0.6194,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000130,E000652,2026-05-19 23:10:27,U0394,91.142.112.1,North Korea,/admin/settings,download,geographic_anomaly,2,546.24,74,0.54,Medium,Require MFA verification,OPEN,2026-06-02 21:49:52
A000131,E000655,2026-05-23 00:36:37,U0028,91.239.143.10,Nigeria,/database/production,write,geographic_anomaly,4,110.54,55,0.5506,Medium,Require MFA verification,OPEN,2026-06-02 21:49:52
A000132,E000656,2026-05-09 08:53:45,U0148,172.252.173.226,Romania,/admin/users,download,data_exfiltration,1,4130.64,85,0.595,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000133,E000658,2026-05-14 00:49:45,U0401,52.83.53.46,Romania,/admin/settings,delete,geographic_anomaly,3,498.24,58,0.5635,Medium,Require MFA verification,OPEN,2026-06-02 21:49:52
A000134,E000671,2026-05-16 15:23:50,U0412,5.62.54.200,Unknown,/storage/bucket-private,login,brute_force,12,5.9,71,0.5578,Critical,Block IP address,OPEN,2026-06-02 21:49:52
A000135,E000672,2026-05-27 12:17:56,U0067,24.238.54.97,Nigeria,/database/production,download,data_exfiltration,2,4797.06,83,0.5985,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000136,E000675,2026-05-08 06:18:51,U0357,185.35.89.158,Anonymous Proxy,/backup/snapshots,write,geographic_anomaly,2,167.46,71,0.5706,Medium,Require MFA verification,OPEN,2026-06-02 21:49:52
A000137,E000686,2026-05-24 17:29:46,U0452,72.70.138.187,Unknown,/iam/roles,delete,geographic_anomaly,1,395.65,86,0.5421,High,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000138,E000689,2026-05-19 23:49:42,U0288,192.31.102.79,Unknown,/vpc/security-groups,download,data_exfiltration,2,3125.21,88,0.6398,Critical,Terminate session,OPEN,2026-06-02 21:49:52
A000139,E000691,2026-05-12 09:39:55,U0310,52.29.253.123,North Korea,/database/production,configure,privilege_escalation,0,158.49,70,0.5931,Medium,Require MFA verification,OPEN,2026-06-02 21:49:52
A000140,E000695,2026-05-09 06:04:25,U0350,52.152.116.253,Romania,/admin/users,write,privilege_escalation,1,98.13,78,0.6129,High,Temporarily lock account,OPEN,2026-06-02 21:49:52
A000141,E000702,2026-05-18 23:46:03,U0055,185.254.249.5,Anonymous Proxy,/backup/snapshots,download,data_exfiltration,1,3059.94,77,0.604,Critical,Terminate session,OPEN,2026-06-02 21:49:52
