event_id,timestamp,user_id,ip_address,country,resource_accessed,action_type,failed_logins,session_duration,data_download_mb,admin_action,risk_score,attack_type,label,prediction,anomaly_score,threat_level,recommended_action
E000045,2026-05-17 16:34:14,U0070,213.228.53.206,North Korea,/backup/snapshots,download,0,6986,3976.82,No,92,data_exfiltration,1,1,0.6264,Critical,Terminate session
E000046,2026-05-14 11:27:39,U0060,172.97.130.12,Finland,/api/files,upload,0,2358,3.7,No,13,normal,0,0,0.4209,Low,No Action Required
E000047,2026-05-30 22:22:49,U0012,104.235.33.18,Singapore,/compute/instances,login,1,702,30.31,No,0,normal,0,0,0.4462,Low,No Action Required
E000048,2026-05-28 22:04:52,U0214,72.190.47.174,United States,/compute/instances,update,0,2030,20.84,No,12,normal,0,0,0.4153,Low,No Action Required
E000049,2026-05-05 08:56:11,U0243,24.216.31.59,Ireland,/storage/bucket-public,download,0,2206,6.48,No,22,normal,0,0,0.417,Low,No Action Required
E000050,2026-05-14 21:53:30,U0489,64.2.34.113,Canada,/api/users,update,0,1783,10.98,No,9,normal,0,0,0.4028,Low,No Action Required
E000051,2026-05-19 13:27:50,U0178,8.63.154.97,India,/api/users,update,2,1385,0.19,Yes,21,normal,0,1,0.5651,Low,Monitor activity
E000052,2026-05-10 07:30:27,U0220,198.196.253.20,Romania,/admin/users,download,1,4275,8860.97,No,71,data_exfiltration,1,1,0.6369,Critical,Terminate session
E000053,2026-05-28 22:34:20,U0437,198.107.140.194,United Kingdom,/api/files,upload,0,3199,30.77,No,12,normal,0,0,0.4611,Low,No Action Required
E000054,2026-05-17 11:50:30,U0235,64.201.136.29,Anonymous Proxy,/database/production,write,3,479,127.41,Yes,91,privilege_escalation,1,1,0.6363,Critical,Temporarily lock account
E000055,2026-05-31 12:53:48,U0265,172.17.171.100,Finland,/api/users,list,0,60,3.68,No,9,normal,0,0,0.4319,Low,No Action Required
E000056,2026-05-05 08:15:43,U0029,72.121.211.202,Singapore,/logs/audit,logout,0,1821,48.76,No,15,normal,0,0,0.3971,Low,No Action Required
E000057,2026-05-06 18:52:27,U0499,24.46.17.238,Ireland,/database/production,logout,0,854,54.03,No,6,normal,0,0,0.4046,Low,No Action Required
E000058,2026-05-08 00:22:38,U0170,5.220.162.125,Ukraine,/network/firewall,delete,1,127,30.24,Yes,61,privilege_escalation,1,1,0.5683,Medium,Require MFA verification
E000059,2026-05-26 07:19:49,U0125,172.25.58.86,India,/storage/bucket-public,login,0,1762,7.22,No,15,normal,0,0,0.3988,Low,No Action Required
E000060,2026-05-11 19:11:43,U0015,72.85.205.92,Germany,/api/users,list,0,806,12.57,No,14,normal,0,0,0.3994,Low,No Action Required
E000061,2026-05-13 00:00:22,U0440,64.223.46.186,Canada,/iam/roles,login,0,2645,1.33,No,7,normal,0,0,0.4059,Low,No Action Required
E000062,2026-05-15 23:32:31,U0222,8.229.222.105,France,/storage/bucket-private,update,0,1513,100.32,No,23,normal,0,0,0.4444,Low,No Action Required
E000063,2026-05-31 03:58:23,U0080,8.183.237.16,Finland,/logs/audit,logout,0,2293,25.94,No,21,normal,0,0,0.3984,Low,No Action Required
E000064,2026-05-17 16:36:53,U0080,172.50.250.158,Australia,/logs/audit,update,1,1733,41.59,No,12,normal,0,0,0.4505,Low,No Action Required
E000065,2026-05-26 01:53:50,U0182,24.141.129.243,Singapore,/api/files,upload,0,1913,21.44,No,5,normal,0,0,0.4254,Low,No Action Required
E000066,2026-05-25 12:24:55,U0101,213.197.231.228,Nigeria,/vpc/security-groups,download,3,140,445.11,No,65,geographic_anomaly,1,1,0.5473,Medium,Require MFA verification
E000067,2026-05-03 23:25:20,U0180,198.94.31.214,United Kingdom,/api/data,download,0,1761,3.61,No,24,normal,0,0,0.4287,Low,No Action Required
E000068,2026-05-22 17:41:40,U0489,52.199.83.110,Anonymous Proxy,/network/firewall,login,18,47,5.88,No,77,brute_force,1,1,0.6041,Critical,Block IP address
E000069,2026-05-28 01:15:53,U0453,72.25.14.72,Ireland,/storage/bucket-public,upload,0,1981,16.24,No,35,normal,0,0,0.4501,Low,No Action Required
E000070,2026-05-11 08:51:27,U0469,24.204.24.33,Canada,/api/data,list,0,620,59.93,No,27,normal,0,0,0.4486,Low,No Action Required
E000071,2026-05-04 18:10:07,U0233,72.173.27.223,France,/storage/bucket-public,list,0,3832,35.86,No,32,normal,0,0,0.4885,Low,No Action Required
E000072,2026-05-11 02:40:09,U0031,52.159.223.132,Sweden,/logs/audit,list,0,3231,4.2,No,13,normal,0,0,0.4251,Low,No Action Required
E000073,2026-05-05 10:40:37,U0072,72.212.221.52,Netherlands,/logs/audit,read,0,2879,22.35,No,3,normal,0,0,0.4215,Low,No Action Required
E000074,2026-06-01 00:05:31,U0247,72.18.222.98,Spain,/api/data,logout,0,1234,21.03,No,13,normal,0,0,0.3974,Low,No Action Required
E000075,2026-05-03 23:06:35,U0149,198.204.237.154,France,/api/users,login,0,2405,14.33,No,29,normal,0,0,0.4113,Low,No Action Required
E000076,2026-05-22 07:06:09,U0209,192.70.39.232,Belarus,/admin/settings,login,12,18,5.0,No,79,brute_force,1,1,0.5916,Critical,Block IP address
E000077,2026-06-01 23:04:24,U0044,8.247.23.13,Japan,/compute/instances,download,0,1899,32.61,No,19,normal,0,0,0.3956,Low,No Action Required
E000078,2026-05-23 12:04:14,U0452,8.186.108.144,Spain,/logs/audit,login,0,934,43.41,No,9,normal,0,0,0.407,Low,No Action Required
E000079,2026-05-21 03:33:36,U0378,196.23.170.58,Ukraine,/admin/settings,login,11,12,2.02,No,90,brute_force,1,1,0.5839,Critical,Block IP address
E000080,2026-05-10 06:08:01,U0462,64.18.170.60,India,/backup/snapshots,logout,0,2062,0.14,No,26,normal,0,0,0.3952,Low,No Action Required
E000081,2026-05-26 07:39:44,U0362,24.135.47.220,Belarus,/admin/settings,login,8,5,1.31,No,87,brute_force,1,1,0.5896,High,Temporarily lock account
E000082,2026-05-21 06:55:39,U0454,172.72.0.234,Canada,/database/staging,read,0,661,1.4,No,27,normal,0,0,0.421,Low,No Action Required
E000083,2026-05-15 03:57:59,U0445,24.1.33.183,Canada,/admin/settings,update,0,2639,19.09,No,10,normal,0,0,0.4488,Low,No Action Required
E000084,2026-05-21 14:32:04,U0170,72.78.232.237,Canada,/api/data,download,0,60,25.64,No,21,normal,0,0,0.4476,Low,No Action Required
E000085,2026-05-04 07:30:22,U0379,192.89.122.249,France,/compute/instances,read,0,2687,25.91,No,14,normal,0,0,0.3941,Low,No Action Required
E000086,2026-05-08 19:34:46,U0146,104.229.207.244,United Kingdom,/compute/instances,read,0,2046,36.7,Yes,14,normal,0,0,0.5367,Low,No Action Required
E000087,2026-05-25 01:33:54,U0495,64.127.255.106,Singapore,/compute/instances,login,0,63,20.47,No,14,normal,0,0,0.4155,Low,No Action Required
E000088,2026-05-25 10:09:19,U0082,192.121.160.178,Sweden,/api/data,upload,0,1932,7.09,No,7,normal,0,0,0.4303,Low,No Action Required
E000089,2026-05-29 19:38:40,U0264,45.89.54.100,Tor Exit Node,/network/firewall,write,0,716,162.79,Yes,83,privilege_escalation,1,1,0.6043,High,Temporarily lock account
E000090,2026-05-05 17:54:42,U0239,24.210.196.168,Netherlands,/admin/users,download,0,1472,25.76,No,18,normal,0,0,0.421,Low,No Action Required
E000091,2026-05-08 17:45:44,U0213,198.33.239.199,Japan,/compute/instances,logout,0,721,21.25,No,24,normal,0,0,0.3984,Low,No Action Required
E000092,2026-06-02 11:05:55,U0389,172.117.77.37,Spain,/database/staging,login,0,1120,35.07,Yes,10,normal,0,0,0.5338,Low,No Action Required
E000093,2026-05-16 06:12:36,U0030,52.209.61.229,Nigeria,/iam/roles,write,0,335,148.84,Yes,61,privilege_escalation,1,1,0.5925,Medium,Require MFA verification
E000094,2026-05-28 04:05:15,U0214,198.102.154.79,United Kingdom,/compute/instances,download,0,1617,48.09,No,16,normal,0,0,0.4174,Low,No Action Required
E000095,2026-05-21 19:42:53,U0254,192.2.28.121,Spain,/logs/audit,login,0,2216,6.36,No,25,normal,0,0,0.4027,Low,No Action Required
E000096,2026-05-30 14:23:16,U0439,104.71.214.168,Ireland,/api/files,upload,0,2549,4.88,No,13,normal,0,0,0.4149,Low,No Action Required
E000097,2026-05-13 11:32:19,U0125,8.126.149.224,North Korea,/backup/snapshots,login,9,43,0.15,No,70,brute_force,1,0,0.5151,Low,No Action Required
E000098,2026-05-24 21:39:28,U0022,198.184.167.29,United Kingdom,/storage/bucket-private,read,0,1243,48.93,No,8,normal,0,0,0.4398,Low,No Action Required
E000099,2026-05-25 17:02:01,U0197,172.227.47.24,Australia,/api/data,download,0,1470,24.8,No,15,normal,0,0,0.4401,Low,No Action Required
E000100,2026-05-23 08:13:07,U0098,8.66.101.175,United States,/api/files,list,0,2368,10.17,No,5,normal,0,0,0.4255,Low,No Action Required
E000101,2026-05-18 22:39:16,U0073,172.24.156.228,France,/storage/bucket-public,login,1,2098,5.93,No,21,normal,0,0,0.4384,Low,No Action Required
E000102,2026-05-17 11:18:02,U0197,52.85.209.234,Finland,/storage/bucket-public,login,2,2279,2.06,No,25,normal,0,0,0.4684,Low,No Action Required
E000103,2026-05-26 11:01:33,U0208,52.254.49.20,India,/api/files,logout,0,1295,63.11,No,15,normal,0,0,0.3985,Low,No Action Required
E000104,2026-05-21 22:33:13,U0251,91.134.163.14,Nigeria,/admin/users,write,2,764,34.56,Yes,80,privilege_escalation,1,1,0.6112,High,Temporarily lock account
E000105,2026-05-08 09:50:28,U0361,24.188.150.188,Finland,/logs/audit,login,0,2039,32.32,No,23,normal,0,0,0.3984,Low,No Action Required
E000106,2026-05-12 12:16:22,U0469,198.2.113.246,Netherlands,/storage/bucket-public,update,0,1774,39.21,No,3,normal,0,0,0.4327,Low,No Action Required
E000107,2026-05-17 08:45:10,U0209,72.202.100.1,Sweden,/api/data,read,2,1434,18.36,No,2,normal,0,0,0.4822,Low,No Action Required
E000108,2026-05-10 12:19:16,U0243,172.2.181.93,Japan,/storage/bucket-public,upload,0,1931,11.02,No,9,normal,0,0,0.4292,Low,No Action Required
E000109,2026-05-28 20:26:10,U0209,45.136.39.61,Anonymous Proxy,/database/production,write,1,402,76.37,Yes,64,privilege_escalation,1,1,0.6135,Medium,Require MFA verification
E000110,2026-05-27 12:32:39,U0209,72.169.255.171,Singapore,/api/files,login,0,1745,72.56,No,22,normal,0,0,0.4075,Low,No Action Required
E000111,2026-05-09 23:35:17,U0251,52.5.85.81,United Kingdom,/compute/instances,read,0,984,3.03,No,28,normal,0,0,0.4255,Low,No Action Required
E000112,2026-05-20 23:41:09,U0382,52.230.70.157,United Kingdom,/database/production,download,0,3252,6.16,No,24,normal,0,0,0.4425,Low,No Action Required
E000113,2026-05-20 01:45:32,U0497,172.52.114.229,United States,/api/users,update,0,912,4.55,No,23,normal,0,0,0.4333,Low,No Action Required
E000114,2026-05-19 12:04:03,U0087,72.132.54.237,Canada,/api/users,login,0,1995,84.74,No,12,normal,0,0,0.4138,Low,No Action Required
E000115,2026-05-12 00:14:02,U0199,24.126.175.187,Romania,/admin/settings,login,17,50,7.93,No,78,brute_force,1,1,0.612,Critical,Block IP address
E000116,2026-05-11 01:13:13,U0150,8.79.97.27,United States,/database/staging,list,0,3539,1.61,No,20,normal,0,0,0.4501,Low,No Action Required
E000117,2026-05-23 03:09:58,U0292,198.202.225.177,Germany,/compute/instances,download,0,1261,26.99,No,21,normal,0,0,0.3994,Low,No Action Required
E000118,2026-05-04 01:24:29,U0035,8.213.246.147,France,/database/staging,logout,1,1650,33.43,No,16,normal,0,0,0.4111,Low,No Action Required
E000119,2026-05-04 02:41:01,U0427,64.103.208.234,Spain,/logs/audit,login,0,3707,3.75,No,4,normal,0,0,0.4567,Low,No Action Required
E000120,2026-05-06 13:07:34,U0132,104.96.119.26,Australia,/storage/bucket-public,list,0,395,28.34,No,23,normal,0,0,0.4575,Low,No Action Required
E000121,2026-05-24 04:04:51,U0009,64.204.37.62,Germany,/api/files,download,0,1168,1.67,Yes,17,normal,0,1,0.5416,Low,Monitor activity
E000122,2026-05-25 22:20:23,U0324,8.140.191.18,Japan,/api/users,read,0,1763,75.09,No,17,normal,0,0,0.4008,Low,No Action Required
E000123,2026-05-11 03:14:41,U0335,104.253.36.16,Norway,/api/users,logout,0,2545,5.39,No,9,normal,0,0,0.3914,Low,No Action Required
E000124,2026-05-25 22:51:56,U0171,172.138.63.220,India,/logs/audit,list,0,1213,37.91,No,15,normal,0,0,0.3907,Low,No Action Required
E000125,2026-05-25 00:09:06,U0487,72.196.111.252,Norway,/storage/bucket-public,logout,1,1034,0.31,No,19,normal,0,0,0.4313,Low,No Action Required
E000126,2026-05-28 13:16:35,U0171,104.11.20.72,Canada,/logs/audit,read,0,2089,4.14,No,17,normal,0,0,0.4002,Low,No Action Required
E000127,2026-05-24 08:27:30,U0200,24.85.76.10,Japan,/compute/instances,list,0,1543,26.53,Yes,19,normal,0,0,0.5098,Low,No Action Required
E000128,2026-05-16 04:37:03,U0311,52.147.39.110,Sweden,/storage/bucket-public,read,0,2333,27.6,No,8,normal,0,0,0.4237,Low,No Action Required
E000129,2026-05-13 09:31:32,U0307,198.67.36.102,Romania,/admin/users,download,2,4806,2053.6,No,77,data_exfiltration,1,1,0.5918,Critical,Terminate session
E000130,2026-05-30 21:38:09,U0187,172.225.219.202,United Kingdom,/api/files,logout,0,2487,91.67,No,19,normal,0,0,0.4293,Low,No Action Required
E000131,2026-05-19 10:35:14,U0229,52.236.139.227,Australia,/compute/instances,download,1,2262,14.2,No,4,normal,0,0,0.4661,Low,No Action Required
E000132,2026-05-30 19:58:50,U0192,198.172.140.92,Japan,/iam/roles,update,0,1580,74.79,No,19,normal,0,0,0.4095,Low,No Action Required
E000133,2026-05-10 15:22:55,U0133,198.247.72.178,Finland,/database/staging,list,0,272,16.64,No,9,normal,0,0,0.4206,Low,No Action Required
E000134,2026-05-09 12:26:19,U0385,72.130.138.90,Singapore,/compute/instances,login,0,3264,12.44,No,15,normal,0,0,0.4149,Low,No Action Required
E000135,2026-05-20 01:12:50,U0035,45.15.19.21,North Korea,/database/production,login,19,55,8.29,No,79,brute_force,1,1,0.5817,Critical,Block IP address
E000136,2026-05-12 15:51:23,U0489,213.157.184.130,North Korea,/iam/roles,write,1,99,100.73,No,80,geographic_anomaly,1,0,0.5351,Low,No Action Required
E000137,2026-06-01 12:46:25,U0347,198.80.37.114,Japan,/api/files,read,0,60,59.21,No,27,normal,0,0,0.4486,Low,No Action Required
E000138,2026-05-16 17:08:01,U0257,172.97.64.15,Finland,/api/data,download,0,1612,119.73,No,31,normal,0,0,0.4633,Low,No Action Required
E000139,2026-05-27 16:09:06,U0364,64.242.17.94,Germany,/network/firewall,update,0,1987,10.4,No,9,normal,0,0,0.4062,Low,No Action Required
E000140,2026-05-13 09:50:14,U0077,198.133.175.48,Ukraine,/database/production,delete,2,825,101.15,Yes,73,privilege_escalation,1,1,0.5755,Medium,Require MFA verification
E000141,2026-05-27 21:12:58,U0067,198.30.168.172,United Kingdom,/api/users,read,1,1980,38.27,No,0,normal,0,0,0.4639,Low,No Action Required
E000142,2026-05-12 17:08:28,U0075,8.128.182.200,Germany,/backup/snapshots,download,0,2583,4.68,No,13,normal,0,0,0.4087,Low,No Action Required
E000143,2026-05-16 22:04:05,U0075,24.56.85.71,Japan,/storage/bucket-public,list,0,1369,23.84,No,8,normal,0,0,0.4141,Low,No Action Required
E000144,2026-05-30 23:46:29,U0108,64.52.181.200,Spain,/iam/roles,upload,0,2105,6.93,No,14,normal,0,0,0.4155,Low,No Action Required
E000145,2026-05-31 04:29:58,U0112,72.152.62.157,United States,/database/staging,logout,0,766,32.88,No,4,normal,0,0,0.4329,Low,No Action Required
E000146,2026-05-27 20:56:03,U0238,198.33.154.134,Sweden,/api/files,download,0,2217,8.39,No,13,normal,0,0,0.4106,Low,No Action Required
E000147,2026-05-30 17:34:50,U0375,52.153.129.230,Finland,/api/users,logout,0,1087,9.42,No,10,normal,0,0,0.3969,Low,No Action Required
E000148,2026-05-07 16:13:07,U0298,72.17.227.11,Singapore,/api/users,logout,0,675,25.24,No,6,normal,0,0,0.4051,Low,No Action Required
E000149,2026-05-05 02:46:13,U0351,64.3.195.1,Netherlands,/storage/bucket-private,login,0,1845,8.92,No,26,normal,0,0,0.4041,Low,No Action Required
E000150,2026-05-23 21:23:40,U0371,172.245.201.45,Singapore,/logs/audit,logout,0,1421,27.76,No,16,normal,0,0,0.3908,Low,No Action Required
E000151,2026-05-12 08:51:06,U0188,172.183.85.98,United Kingdom,/database/production,logout,0,688,3.95,No,27,normal,0,0,0.4178,Low,No Action Required
E000152,2026-05-19 17:57:40,U0042,104.217.42.49,Sweden,/storage/bucket-public,update,2,1987,2.86,No,0,normal,0,0,0.5005,Low,No Action Required
E000153,2026-05-08 00:16:29,U0029,52.140.78.230,Canada,/api/data,upload,0,870,98.37,No,18,normal,0,0,0.4669,Low,No Action Required
E000154,2026-05-14 14:09:20,U0391,72.186.25.68,North Korea,/iam/roles,login,14,39,5.3,No,66,brute_force,1,1,0.5451,Critical,Block IP address
E000155,2026-06-02 19:18:24,U0200,24.88.120.247,Sweden,/api/files,upload,0,1671,11.86,No,21,normal,0,0,0.4207,Low,No Action Required
E000156,2026-05-06 11:00:49,U0330,8.246.244.43,Australia,/storage/bucket-public,update,0,2747,6.49,No,8,normal,0,0,0.4498,Low,No Action Required
E000157,2026-05-13 16:09:51,U0077,172.14.214.132,Singapore,/database/staging,update,0,60,25.51,No,17,normal,0,0,0.4296,Low,No Action Required
E000158,2026-05-24 05:59:54,U0227,198.218.4.29,United Kingdom,/api/files,list,0,1892,17.46,Yes,11,normal,0,0,0.5366,Low,No Action Required
E000159,2026-05-18 21:03:13,U0078,104.14.138.142,Singapore,/api/users,list,0,1594,28.19,No,0,normal,0,0,0.4125,Low,No Action Required
E000160,2026-05-12 07:39:16,U0370,192.58.224.241,France,/database/staging,read,0,1645,38.99,No,22,normal,0,0,0.3928,Low,No Action Required
E000161,2026-06-01 02:05:14,U0456,24.79.139.73,Netherlands,/storage/bucket-private,read,0,951,89.19,No,26,normal,0,0,0.4397,Low,No Action Required
E000162,2026-05-14 06:12:09,U0413,198.10.198.158,France,/logs/audit,list,0,1259,55.22,No,7,normal,0,0,0.408,Low,No Action Required
E000163,2026-05-19 18:23:18,U0432,192.80.234.221,Germany,/backup/snapshots,read,0,1189,16.47,No,19,normal,0,0,0.3922,Low,No Action Required
E000164,2026-05-22 09:52:28,U0005,24.221.212.218,India,/api/files,login,0,1064,29.66,No,10,normal,0,0,0.3905,Low,No Action Required
E000165,2026-05-13 10:22:34,U0051,172.110.25.122,United States,/api/users,list,1,1106,0.2,No,26,normal,0,0,0.4543,Low,No Action Required
E000166,2026-05-07 01:05:03,U0276,52.198.232.95,Sweden,/api/users,logout,0,2467,13.54,Yes,26,normal,0,0,0.5312,Low,No Action Required
E000167,2026-05-17 13:01:41,U0443,185.210.231.216,Anonymous Proxy,/iam/roles,download,1,4279,4573.09,No,92,data_exfiltration,1,1,0.6042,Critical,Terminate session
E000168,2026-05-11 18:35:24,U0157,24.186.131.1,Nigeria,/storage/bucket-private,login,19,23,3.08,No,80,brute_force,1,1,0.5876,Critical,Block IP address
E000169,2026-05-12 15:37:08,U0031,196.218.22.135,Romania,/admin/users,download,4,210,399.27,No,50,geographic_anomaly,1,1,0.5504,Medium,Require MFA verification
E000170,2026-05-04 04:34:51,U0303,198.120.44.173,Norway,/compute/instances,list,0,2410,18.31,No,20,normal,0,0,0.3919,Low,No Action Required
E000171,2026-05-21 22:12:59,U0187,8.154.157.129,Ireland,/api/data,download,0,2642,22.72,No,16,normal,0,0,0.4113,Low,No Action Required
E000172,2026-05-21 01:49:28,U0452,8.153.203.140,Unknown,/database/production,download,0,3709,5108.31,No,78,data_exfiltration,1,1,0.598,Critical,Terminate session
E000173,2026-05-29 12:41:47,U0424,72.224.204.7,Canada,/api/data,read,0,2762,2.89,No,10,normal,0,0,0.4154,Low,No Action Required
E000174,2026-05-12 10:07:18,U0273,192.126.154.94,Sweden,/database/staging,download,0,1993,10.47,No,6,normal,0,0,0.4069,Low,No Action Required
E000175,2026-05-18 23:57:46,U0223,172.206.219.248,India,/compute/instances,list,0,1405,52.59,No,24,normal,0,0,0.3982,Low,No Action Required
E000176,2026-05-18 07:18:23,U0437,24.46.80.207,Sweden,/backup/snapshots,list,2,1925,50.61,No,18,normal,0,0,0.4574,Low,No Action Required
E000177,2026-05-08 21:14:55,U0425,172.225.112.241,United States,/api/files,read,0,1467,9.67,No,16,normal,0,0,0.4179,Low,No Action Required
